time484c39f77ace4808a5a48f6b481bafbe,intInc1,intRep1,dblInc1,dblRep1,strInc1,strRep1,decInc1,decRep1,boolInc1,boolRep1,smallInc1,smallRep1,dateCur1,dateInc1,intInc2,intRep2,dblInc2,dblRep2,strInc2,strRep2,decInc2,decRep2,boolInc2,boolRep2,smallInc2,smallRep2,dateCur2,dateInc2,intInc3,intRep3,dblInc3,dblRep3,strInc3,strRep3,decInc3,decRep3,boolInc3,boolRep3,smallInc3,smallRep3,dateCur3,dateInc3,intInc4,intRep4,dblInc4,dblRep4,strInc4,strRep4,decInc4,decRep4,boolInc4,boolRep4,smallInc4,smallRep4,dateCur4,dateInc4,intInc5,intRep5,dblInc5,dblRep5,strInc5,strRep5,decInc5,decRep5,boolInc5,boolRep5,smallInc5,smallRep5,dateCur5,dateInc5
2019-01-01 00:00:01,1,1,0.01,0.01,'strstrstrstrstrstr1','strstrstrstrstrstr1',0.01,0.01,1,0,1,1,'2019-01-01','2019-01-02',1,1,0.01,0.01,'strstrstrstrstrstr1','strstrstrstrstrstr1',0.01,0.01,1,0,1,1,'2019-01-01','2019-01-02',1,1,0.01,0.01,'strstrstrstrstrstr1','strstrstrstrstrstr1',0.01,0.01,1,0,1,1,'2019-01-01','2019-01-02',1,1,0.01,0.01,'strstrstrstrstrstr1','strstrstrstrstrstr1',0.01,0.01,1,0,1,1,'2019-01-01','2019-01-02',1,1,0.01,0.01,'strstrstrstrstrstr1','strstrstrstrstrstr1',0.01,0.01,1,0,1,1,'2019-01-01','2019-01-02'
2019-01-01 00:00:02,2,2,0.02,0.02,'strstrstrstrstrstr2','strstrstrstrstrstr2',0.02,0.02,0,0,2,2,'2019-01-01','2019-01-03',2,2,0.02,0.02,'strstrstrstrstrstr2','strstrstrstrstrstr2',0.02,0.02,0,0,2,2,'2019-01-01','2019-01-03',2,2,0.02,0.02,'strstrstrstrstrstr2','strstrstrstrstrstr2',0.02,0.02,0,0,2,2,'2019-01-01','2019-01-03',2,2,0.02,0.02,'strstrstrstrstrstr2','strstrstrstrstrstr2',0.02,0.02,0,0,2,2,'2019-01-01','2019-01-03',2,2,0.02,0.02,'strstrstrstrstrstr2','strstrstrstrstrstr2',0.02,0.02,0,0,2,2,'2019-01-01','2019-01-03'
2019-01-01 00:00:03,3,3,0.03,0.03,'strstrstrstrstrstr3','strstrstrstrstrstr3',0.03,0.03,1,0,3,3,'2019-01-01','2019-01-04',3,3,0.03,0.03,'strstrstrstrstrstr3','strstrstrstrstrstr3',0.03,0.03,1,0,3,3,'2019-01-01','2019-01-04',3,3,0.03,0.03,'strstrstrstrstrstr3','strstrstrstrstrstr3',0.03,0.03,1,0,3,3,'2019-01-01','2019-01-04',3,3,0.03,0.03,'strstrstrstrstrstr3','strstrstrstrstrstr3',0.03,0.03,1,0,3,3,'2019-01-01','2019-01-04',3,3,0.03,0.03,'strstrstrstrstrstr3','strstrstrstrstrstr3',0.03,0.03,1,0,3,3,'2019-01-01','2019-01-04'
2019-01-01 00:00:04,4,4,0.04,0.04,'strstrstrstrstrstr4','strstrstrstrstrstr4',0.04,0.04,0,0,4,4,'2019-01-01','2019-01-05',4,4,0.04,0.04,'strstrstrstrstrstr4','strstrstrstrstrstr4',0.04,0.04,0,0,4,4,'2019-01-01','2019-01-05',4,4,0.04,0.04,'strstrstrstrstrstr4','strstrstrstrstrstr4',0.04,0.04,0,0,4,4,'2019-01-01','2019-01-05',4,4,0.04,0.04,'strstrstrstrstrstr4','strstrstrstrstrstr4',0.04,0.04,0,0,4,4,'2019-01-01','2019-01-05',4,4,0.04,0.04,'strstrstrstrstrstr4','strstrstrstrstrstr4',0.04,0.04,0,0,4,4,'2019-01-01','2019-01-05'
2019-01-01 00:00:05,5,5,0.05,0.05,'strstrstrstrstrstr5','strstrstrstrstrstr5',0.05,0.05,1,0,5,5,'2019-01-01','2019-01-06',5,5,0.05,0.05,'strstrstrstrstrstr5','strstrstrstrstrstr5',0.05,0.05,1,0,5,5,'2019-01-01','2019-01-06',5,5,0.05,0.05,'strstrstrstrstrstr5','strstrstrstrstrstr5',0.05,0.05,1,0,5,5,'2019-01-01','2019-01-06',5,5,0.05,0.05,'strstrstrstrstrstr5','strstrstrstrstrstr5',0.05,0.05,1,0,5,5,'2019-01-01','2019-01-06',5,5,0.05,0.05,'strstrstrstrstrstr5','strstrstrstrstrstr5',0.05,0.05,1,0,5,5,'2019-01-01','2019-01-06'
2019-01-01 00:00:06,6,6,0.06,0.06,'strstrstrstrstrstr6','strstrstrstrstrstr6',0.06,0.06,0,0,6,6,'2019-01-01','2019-01-07',6,6,0.06,0.06,'strstrstrstrstrstr6','strstrstrstrstrstr6',0.06,0.06,0,0,6,6,'2019-01-01','2019-01-07',6,6,0.06,0.06,'strstrstrstrstrstr6','strstrstrstrstrstr6',0.06,0.06,0,0,6,6,'2019-01-01','2019-01-07',6,6,0.06,0.06,'strstrstrstrstrstr6','strstrstrstrstrstr6',0.06,0.06,0,0,6,6,'2019-01-01','2019-01-07',6,6,0.06,0.06,'strstrstrstrstrstr6','strstrstrstrstrstr6',0.06,0.06,0,0,6,6,'2019-01-01','2019-01-07'
2019-01-01 00:00:07,7,7,0.07,0.07,'strstrstrstrstrstr7','strstrstrstrstrstr7',0.07,0.07,1,0,7,7,'2019-01-01','2019-01-08',7,7,0.07,0.07,'strstrstrstrstrstr7','strstrstrstrstrstr7',0.07,0.07,1,0,7,7,'2019-01-01','2019-01-08',7,7,0.07,0.07,'strstrstrstrstrstr7','strstrstrstrstrstr7',0.07,0.07,1,0,7,7,'2019-01-01','2019-01-08',7,7,0.07,0.07,'strstrstrstrstrstr7','strstrstrstrstrstr7',0.07,0.07,1,0,7,7,'2019-01-01','2019-01-08',7,7,0.07,0.07,'strstrstrstrstrstr7','strstrstrstrstrstr7',0.07,0.07,1,0,7,7,'2019-01-01','2019-01-08'
2019-01-01 00:00:08,8,8,0.08,0.08,'strstrstrstrstrstr8','strstrstrstrstrstr8',0.08,0.08,0,0,8,8,'2019-01-01','2019-01-09',8,8,0.08,0.08,'strstrstrstrstrstr8','strstrstrstrstrstr8',0.08,0.08,0,0,8,8,'2019-01-01','2019-01-09',8,8,0.08,0.08,'strstrstrstrstrstr8','strstrstrstrstrstr8',0.08,0.08,0,0,8,8,'2019-01-01','2019-01-09',8,8,0.08,0.08,'strstrstrstrstrstr8','strstrstrstrstrstr8',0.08,0.08,0,0,8,8,'2019-01-01','2019-01-09',8,8,0.08,0.08,'strstrstrstrstrstr8','strstrstrstrstrstr8',0.08,0.08,0,0,8,8,'2019-01-01','2019-01-09'
2019-01-01 00:00:09,9,9,0.09,0.09,'strstrstrstrstrstr9','strstrstrstrstrstr9',0.09,0.09,1,0,9,9,'2019-01-01','2019-01-10',9,9,0.09,0.09,'strstrstrstrstrstr9','strstrstrstrstrstr9',0.09,0.09,1,0,9,9,'2019-01-01','2019-01-10',9,9,0.09,0.09,'strstrstrstrstrstr9','strstrstrstrstrstr9',0.09,0.09,1,0,9,9,'2019-01-01','2019-01-10',9,9,0.09,0.09,'strstrstrstrstrstr9','strstrstrstrstrstr9',0.09,0.09,1,0,9,9,'2019-01-01','2019-01-10',9,9,0.09,0.09,'strstrstrstrstrstr9','strstrstrstrstrstr9',0.09,0.09,1,0,9,9,'2019-01-01','2019-01-10'
2019-01-01 00:00:10,10,0,0.1,0.0,'strstrstrstrstrstr10','strstrstrstrstrstr0',0.1,0.0,0,1,10,0,'2019-01-01','2019-01-11',10,0,0.1,0.0,'strstrstrstrstrstr10','strstrstrstrstrstr0',0.1,0.0,0,1,10,0,'2019-01-01','2019-01-11',10,0,0.1,0.0,'strstrstrstrstrstr10','strstrstrstrstrstr0',0.1,0.0,0,1,10,0,'2019-01-01','2019-01-11',10,0,0.1,0.0,'strstrstrstrstrstr10','strstrstrstrstrstr0',0.1,0.0,0,1,10,0,'2019-01-01','2019-01-11',10,0,0.1,0.0,'strstrstrstrstrstr10','strstrstrstrstrstr0',0.1,0.0,0,1,10,0,'2019-01-01','2019-01-11'
